State,median_household_income,poverty_rate,pct_bachelors_or_higher,pct_uninsured,unemployment_rate,Year
California,91551.0,12.2,37.0,6.5,5.3,2022
Colorado,89302.0,9.4,45.9,7.1,3.5,2022
Connecticut,88429.0,9.8,41.9,5.2,4.7,2022
Delaware,82174.0,9.4,36.5,5.6,4.3,2022
District of Columbia,101027.0,13.3,65.4,2.9,5.1,2022
Florida,69303.0,12.7,34.3,11.2,4.0,2022
Georgia,72837.0,12.7,34.7,11.7,4.2,2022
Hawaii,92458.0,10.2,35.4,3.5,3.6,2022
Idaho,72785.0,10.7,32.3,8.2,3.0,2022
Illinois,76708.0,11.9,37.7,6.6,4.8,2022
Indiana,66785.0,12.6,29.6,7.0,3.6,2022
Iowa,69588.0,11.0,32.3,4.5,2.9,2022
Kansas,68925.0,12.0,35.6,8.6,3.6,2022
Kentucky,59341.0,16.5,27.9,5.6,4.3,2022
Louisiana,55416.0,18.6,27.1,6.9,5.4,2022
Maine,69543.0,10.8,36.1,6.6,3.3,2022
Maryland,94991.0,9.6,43.8,6.1,4.0,2022
Massachusetts,94488.0,10.4,46.6,2.4,4.1,2022
Michigan,66986.0,13.4,32.1,4.5,4.6,2022
Minnesota,82338.0,9.6,39.1,4.5,3.2,2022
Mississippi,52719.0,19.1,24.8,10.8,4.9,2022
Missouri,64811.0,13.2,32.2,8.6,3.7,2022
Montana,67631.0,12.1,34.6,8.3,3.0,2022
Nebraska,69597.0,11.2,34.7,6.7,2.3,2022
Nevada,72333.0,12.5,27.0,11.1,5.5,2022
New Hampshire,89992.0,7.2,41.3,4.9,2.5,2022
New Jersey,96346.0,9.7,43.5,6.8,5.0,2022
New Mexico,59726.0,17.6,30.5,8.2,4.8,2022
New York,79557.0,14.3,40.0,4.9,5.1,2022
North Carolina,67481.0,12.8,35.9,9.3,3.8,2022
North Dakota,71970.0,11.5,31.8,6.4,2.2,2022
Ohio,65720.0,13.4,32.0,5.9,3.7,2022
Oklahoma,59673.0,15.7,28.5,11.7,4.2,2022
Oregon,75657.0,12.1,36.3,6.0,4.3,2022
Pennsylvania,71798.0,11.8,35.1,5.3,4.3,2022
Rhode Island,81854.0,10.8,39.6,4.2,4.5,2022
South Carolina,64115.0,14.0,32.6,9.1,4.4,2022
South Dakota,69728.0,12.5,31.6,8.1,2.8,2022
Tennessee,65254.0,13.3,31.1,9.3,3.4,2022
Texas,72284.0,14.0,33.9,16.6,4.4,2022
Utah,89168.0,8.2,37.9,8.1,2.7,2022
Vermont,73991.0,10.4,44.2,3.9,2.8,2022
Virginia,85873.0,10.6,42.2,6.5,3.6,2022
Washington,91306.0,10.0,39.5,6.1,4.1,2022
West Virginia,54329.0,17.9,24.8,5.9,4.7,2022
Wisconsin,70996.0,10.7,33.2,5.2,2.8,2022
Wyoming,70042.0,11.8,29.6,11.5,3.8,2022
Puerto Rico,24112.0,41.7,29.8,5.1,9.9,2022
Alabama,62212.0,15.6,28.9,8.5,4.0,2023
Alaska,86631.0,10.4,32.2,10.4,4.8,2023
Arizona,77315.0,12.4,33.5,9.9,4.3,2023
Arkansas,58700.0,15.7,26.2,8.9,4.2,2023
California,95521.0,12.0,37.5,6.4,5.5,2023
Colorado,92911.0,9.3,46.4,6.7,3.8,2023
Connecticut,91665.0,10.3,42.9,5.7,4.6,2023
Delaware,81361.0,10.5,36.5,6.5,3.5,2023
District of Columbia,108210.0,14.0,65.9,2.7,5.3,2023
Florida,73311.0,12.3,34.9,10.7,4.1,2023
Georgia,74632.0,13.6,35.4,11.4,4.4,2023
Hawaii,95322.0,10.1,37.0,3.2,3.5,2023
Idaho,74942.0,10.1,32.1,8.9,3.6,2023
Illinois,80306.0,11.6,38.3,6.2,4.7,2023
Indiana,69477.0,12.3,30.2,6.9,3.6,2023
Iowa,71433.0,11.3,31.5,5.0,2.8,2023
Kansas,70333.0,11.2,35.8,8.4,3.3,2023
Kentucky,61118.0,16.4,27.8,5.4,4.1,2023
Louisiana,58229.0,18.9,27.0,6.9,4.9,2023
Maine,73733.0,10.4,37.0,5.9,3.2,2023
Maryland,98678.0,9.5,43.7,6.3,4.0,2023
Massachusetts,99858.0,10.4,47.8,2.6,3.9,2023
Michigan,69183.0,13.5,32.7,4.5,4.5,2023
Minnesota,85086.0,9.3,40.0,4.2,3.0,2023
Mississippi,54203.0,18.0,25.5,10.3,4.8,2023
Missouri,68545.0,12.0,33.2,7.5,3.4,2023
Montana,70804.0,11.7,34.6,8.4,2.7,2023
Nebraska,74590.0,10.5,35.3,6.1,2.7,2023
Nevada,76364.0,12.0,28.7,10.8,4.6,2023
New Hampshire,96838.0,7.2,40.7,4.7,2.6,2023
New Jersey,99781.0,9.7,43.8,7.2,4.7,2023
New Mexico,62268.0,17.8,31.6,9.1,4.8,2023
New York,82095.0,14.2,40.6,4.8,5.0,2023
North Carolina,70804.0,12.8,36.8,9.2,4.0,2023
North Dakota,76525.0,9.8,33.6,4.5,2.9,2023
